PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
9204;"Cementerio Británico (British Cemetery)";"";"Martes, jueves, sábados (excepto fiestas nacionales y locales) y 1 de noviembre: De 10:30 a 13 horas.";"";"Metro: Urgel (línea 5).  Bus: 118, 119, 34, 35.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a0307a7e0a61c010VgnVCM1000000b205a0aRCRD";"COMANDANTE FONTANES";"CALLE";"V";"7";"";"";"";"";"MADRID";"MADRID";"28019";"3";"SAN ISIDRO";"11";"CARABANCHEL";"438673";"4471874";"40.395212860537896";"-3.722633997992097";"";"";"britishcemeterymadrid@fco.gov.uk";"/contenido/entidadesYorganismos/Cementerios"; 
9189;"Cementerio Civil";"";"Invierno: todos los días de 8 a 18:30 horas. Verano: todos los días de 8 a 19:30 horas. El periodo del horario  de verano comenzará el último domingo del mes marzo de cada año, a las 2 de la madrugada (momento en que la hora oficial española se adelantará 60 minutos) y terminará el último domingo del mes de octubre de cada año, a las tres de la madrugada (momento en que la hora oficial española se retrasará 60 minutos).";"La gestión integral realizada por parte de los Servicios Funerarios de Madrid (SFM), ofrece a las familias la posibilidad de disponer de un servicio de cementerios completo a través de una única gestión municipal de todos los servicios necesarios, tales como inhumación, exhumación, traslados o gestión del espacio de enterramiento entre otras. Sin oficinas propias. Tramitaciones en Cementerio de la Almudena. Instalación accesible para personas de movilidad reducida por las vías principales; dificultades por vías más estrechas y entre sepulturas.";"Metro: La Almudena (línea 2)  Bus: 70, 106, 109, 110";"La Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, ofrece un Servicio Funerario Integral que engloba todos los aspectos necesarios para la despedida de un ser querido, como los trámites administrativos, la recogida del fallecido, traslado, acondicionamiento y su velación entre otros servicios, poniendo a su disposición los dos Tanatorios Municipales (Tanatorio M30 y Tanatorio SUR). Así mismo, gestionamos la inhumación o incineración del fallecido en cualquiera de los 14 Cementerios Municipales de la ciudad de Madrid y de los dos Crematorios (Cementerio de La Almudena y Cementerio Sur).";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5e91f2d8c559f010VgnVCM1000000b205a0aRCRD";"DAROCA";"AVENIDA";"V";"90";"";"";"";"";"MADRID";"MADRID";"28017";"1";"VENTAS";"15";"CIUDAD LINEAL";"445016";"4475412";"40.42751913746381";"-3.6482030278949904";"915 108 469 / 915 108 464 (Información)";"";"almudena@sfmadrid.es";"/contenido/entidadesYorganismos/Cementerios"; 
9205;"Cementerio Cristo de El Pardo";"";"Martes, jueves, sábado y domingo, de 10 a 17 horas. Día de la Madre, Día del Padre y Semana de Todos los Santos, de 10 a 17 horas.";"La gestión integral realizada por parte de los Servicios Funerarios de Madrid (SFM), ofrece a las familias la posibilidad de disponer de un servicio de cementerios completo a través de una única gestión municipal de todos los servicios necesarios, tales como inhumación, exhumación, traslados o gestión del espacio de enterramiento entre otras. Sin oficinas propias. Tramitaciones en Cementerio de la Almudena. Instalación accesible para personas de movilidad reducida por las vías principales; dificultades por vías más estrechas y entre sepulturas.";"Bus: 601, 602";"Iglesia del Santo Cristo de El Pardo. La Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, ofrece un Servicio Funerario Integral que engloba todos los aspectos necesarios para la despedida de un ser querido, como los trámites administrativos, la recogida del fallecido, traslado, acondicionamiento y su velación entre otros servicios, poniendo a su disposición los dos Tanatorios Municipales (Tanatorio M30 y Tanatorio SUR). Así mismo, gestionamos la inhumación o incineración del fallecido en cualquiera de los 14 Cementerios Municipales de la ciudad de Madrid y de los dos Crematorios (Cementerio de La Almudena y Cementerio Sur).";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4d707a7e0a61c010VgnVCM1000000b205a0aRCRD";"CRISTO DE EL PARDO";"CARRETERA";"V";"11";"";"";"";"";"MADRID";"MADRID";"28048";"1";"EL PARDO";"8";"FUENCARRAL-EL PARDO";"433197";"4485709";"40.519411567887154";"-3.7886095756711633";"915 108 469 / 91 5 108 464 (Información)";"";"almudena@sfmadrid.es";"/contenido/entidadesYorganismos/Cementerios"; 
9193;"Cementerio de Aravaca";"";"Todo el año, de 10 a 17 horas.";"La gestión integral realizada por parte de los Servicios Funerarios de Madrid (SFM), ofrece a las familias la posibilidad de disponer de un servicio de cementerios completo a través de una única gestión municipal de todos los servicios necesarios, tales como inhumación, exhumación, traslados o gestión del espacio de enterramiento entre otras. Sin oficinas propias. Tramitaciones en Cementerio de la Almudena. Instalación accesible para personas de movilidad reducida por las vías principales; dificultades por vías más estrechas y entre sepulturas.";"Bus: 161, 162";"La Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, ofrece un Servicio Funerario Integral que engloba todos los aspectos necesarios para la despedida de un ser querido, como los trámites administrativos, la recogida del fallecido, traslado, acondicionamiento y su velación entre otros servicios, poniendo a su disposición los dos Tanatorios Municipales (Tanatorio M30 y Tanatorio SUR). Así mismo, gestionamos la inhumación o incineración del fallecido en cualquiera de los 14 Cementerios Municipales de la ciudad de Madrid y de los dos Crematorios (Cementerio de La Almudena y Cementerio Sur).";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=99c1f2d8c559f010VgnVCM1000000b205a0aRCRD";"ZARZUELA";"CAMINO";"V";"26";"";"";"";"";"MADRID";"MADRID";"28023";"5";"VALDEMARIN";"9";"MONCLOA-ARAVACA";"433274";"4479751";"40.46574702347528";"-3.7870732983676145";"915 108 469 / 915 108 464 (Información)";"";"almudena@sfmadrid.es";"/contenido/entidadesYorganismos/Cementerios"; 
9186;"Cementerio de Barajas";"";"Jueves y domingos, de 10 a 17 horas. Día de la Madre, Día del Padre y Semana de Todos los Santos: de 10 a 17 horas.";"La gestión integral realizada por parte de los Servicios Funerarios de Madrid (SFM), ofrece a las familias la posibilidad de disponer de un servicio de cementerios completo a través de una única gestión municipal de todos los servicios necesarios, tales como inhumación, exhumación, traslados o gestión del espacio de enterramiento entre otras. Sin oficinas propias. Tramitaciones en Cementerio de la Almudena. Instalación accesible para personas de movilidad reducida por las vías principales; dificultades por vías más estrechas y entre sepulturas.";"Bus: 101, 105, 115, 151  Metro: Barajas (línea 8)";"La Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, ofrece un Servicio Funerario Integral que engloba todos los aspectos necesarios para la despedida de un ser querido, como los trámites administrativos, la recogida del fallecido, traslado, acondicionamiento y su velación entre otros servicios, poniendo a su disposición los dos Tanatorios Municipales (Tanatorio M30 y Tanatorio SUR). Así mismo, gestionamos la inhumación o incineración del fallecido en cualquiera de los 14 Cementerios Municipales de la ciudad de Madrid y de los dos Crematorios (Cementerio de La Almudena y Cementerio Sur).";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9102f2d8c559f010VgnVCM1000000b205a0aRCRD";"CEMENTERIO NUEVO";"CARRETERA";"V";"60";"";"";"";"";"MADRID";"MADRID";"28042";"2";"AEROPUERTO";"21";"BARAJAS";"450255";"4481421";"40.481990715777975";"-3.58691492041717";"915 108 469 / 915 108 464 (Información)";"";"almudena@sfmadrid.es";"/contenido/entidadesYorganismos/Cementerios"; 
9188;"Cementerio de Canillas";"";"Abierto todos los días del año de 10 a 17 horas.";"La gestión integral realizada por parte de los Servicios Funerarios de Madrid (SFM), ofrece a las familias la posibilidad de disponer de un servicio de cementerios completo a través de una única gestión municipal de todos los servicios necesarios, tales como inhumación, exhumación, traslados o gestión del espacio de enterramiento entre otras. Sin oficinas propias. Tramitaciones en Cementerio de la Almudena. Instalación accesible para personas de movilidad reducida por las vías principales; dificultades por vías más estrechas y entre sepulturas.";"Metro: Esperanza (línea 4)  Bus: 120, 122";"La Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, ofrece un Servicio Funerario Integral que engloba todos los aspectos necesarios para la despedida de un ser querido, como los trámites administrativos, la recogida del fallecido, traslado, acondicionamiento y su velación entre otros servicios, poniendo a su disposición los dos Tanatorios Municipales (Tanatorio M30 y Tanatorio SUR). Así mismo, gestionamos la inhumación o incineración del fallecido en cualquiera de los 14 Cementerios Municipales de la ciudad de Madrid y de los dos Crematorios (Cementerio de La Almudena y Cementerio Sur).";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8252f2d8c559f010VgnVCM1000000b205a0aRCRD";"SILVANO";"CALLE";"V";"69";"";"";"";"";"MADRID";"MADRID";"28043";"3";"CANILLAS";"16";"HORTALEZA";"445663";"4479145";"40.46119048092996";"-3.6409071636750134";"915 108 469 / 915 108 464 (Información)";"";"almudena@sfmadrid.es";"/contenido/entidadesYorganismos/Cementerios"; 
9187;"Cementerio de Canillejas";"";"Jueves y domingo, de 10 a 17 horas. Día de la Madre, Día del Padre y Semana de Todos los Santos, de 10 a 17 horas.";"La gestión integral realizada por parte de los Servicios Funerarios de Madrid (SFM), ofrece a las familias la posibilidad de disponer de un servicio de cementerios completo a través de una única gestión municipal de todos los servicios necesarios, tales como inhumación, exhumación, traslados o gestión del espacio de enterramiento entre otras. Sin oficinas propias. Tramitaciones en Cementerio de la Almudena. Instalación accesible para personas de movilidad reducida por las vías principales; dificultades por vías más estrechas y entre sepulturas.";"Bus: 28, 48, 77, 105, 140, 153  Metro: Esperanza (línea 4)";"La Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, ofrece un Servicio Funerario Integral que engloba todos los aspectos necesarios para la despedida de un ser querido, como los trámites administrativos, la recogida del fallecido, traslado, acondicionamiento y su velación entre otros servicios, poniendo a su disposición los dos Tanatorios Municipales (Tanatorio M30 y Tanatorio SUR). Así mismo, gestionamos la inhumación o incineración del fallecido en cualquiera de los 14 Cementerios Municipales de la ciudad de Madrid y de los dos Crematorios (Cementerio de La Almudena y Cementerio Sur).";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a22f2d8c559f010VgnVCM1000000b205a0aRCRD";"NECTAR";"CALLE";"V";"34";"";"";"";"";"MADRID";"MADRID";"28022";"7";"CANILLEJAS";"20";"SAN BLAS-CANILLEJAS";"448243";"4477129";"40.443193889855884";"-3.6103138628823834";"915 108 469 / 915 108 464 (Información)";"";"almudena@sfmadrid.es";"/contenido/entidadesYorganismos/Cementerios"; 
9190;"Cementerio de Carabanchel Alto";"Horario ininterrumpido de 8 a 17:30 horas de lunes a jueves. Los días 2 y 3 de noviembre, habrá turno de 9:30 a 17:30 horas para atender las oficinas administrativas. El día 1 de noviembre, habrá un turno de 9 a 18 horas para cubrir el horario de mayor afluencia de público.";"Invierno: todos los días de 8 a 18:30 horas. Verano: todos los días de 8 a 19:30 horas. El periodo del horario  de verano comenzará el último domingo del mes marzo de cada año, a las 2 de la madrugada (momento en que la hora oficial española se adelantará 60 minutos) y terminará el último domingo del mes de octubre de cada año, a las tres de la madrugada (momento en que la hora oficial española se retrasará 60 minutos).";"La gestión integral realizada por parte de los Servicios Funerarios de Madrid (SFM), ofrece a las familias la posibilidad de disponer de un servicio de cementerios completo a través de una única gestión municipal de todos los servicios necesarios, tales como inhumación, exhumación, traslados o gestión del espacio de enterramiento entre otras. Sin oficinas propias. Tramitaciones en el Cementerio Sur. El Cementerio Hebreo se aloja en el espacio compartido con el Cementerio Sur. Instalación accesible para personas de movilidad reducida por las vías principales; dificultades por vías más estrechas y entre sepulturas.";"Bus: 108, 118, 155";"La Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, ofrece un Servicio Funerario Integral que engloba todos los aspectos necesarios para la despedida de un ser querido, como los trámites administrativos, la recogida del fallecido, traslado, acondicionamiento y su velación entre otros servicios, poniendo a su disposición los dos Tanatorios Municipales (Tanatorio M30 y Tanatorio SUR). Así mismo, gestionamos la inhumación o incineración del fallecido en cualquiera de los 14 Cementerios Municipales de la ciudad de Madrid y de los dos Crematorios (Cementerio de La Almudena y Cementerio Sur).";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6f417a7e0a61c010VgnVCM1000000b205a0aRCRD";"VIA LUSITANA";"CALLE";"V";"55";"";"";"";"";"MADRID";"MADRID";"28054";"6";"BUENAVISTA";"11";"CARABANCHEL";"437261";"4469000";"40.36733534193104";"-3.740262790092704";"915 108 506 / 915 108 505 (Información)";"";"cementeriosur@sfmadrid.es";"/contenido/entidadesYorganismos/Cementerios"; 
9195;"Cementerio de El Pardo";"";"Todos los días del año de 10 a 17 horas.";"La gestión integral realizada por parte de los Servicios Funerarios de Madrid (SFM), ofrece a las familias la posibilidad de disponer de un servicio de cementerios completo a través de una única gestión municipal de todos los servicios necesarios, tales como inhumación, exhumación, traslados o gestión del espacio de enterramiento entre otras. Sin oficinas propias. Tramitaciones en Cementerio de la Almudena. Instalación accesible para personas de movilidad reducida por las vías principales; dificultades por vías más estrechas y entre sepulturas.";"Bus: 601, 602";"La Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, ofrece un Servicio Funerario Integral que engloba todos los aspectos necesarios para la despedida de un ser querido, como los trámites administrativos, la recogida del fallecido, traslado, acondicionamiento y su velación entre otros servicios, poniendo a su disposición los dos Tanatorios Municipales (Tanatorio M30 y Tanatorio SUR). Así mismo, gestionamos la inhumación o incineración del fallecido en cualquiera de los 14 Cementerios Municipales de la ciudad de Madrid y de los dos Crematorios (Cementerio de La Almudena y Cementerio Sur).";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9867b47a0559f010VgnVCM2000000c205a0aRCRD";"EL PARDO A COLMENAR VIEJO";"CARRETERA";"V";"13";"";"";"";"";"MADRID";"MADRID";"28048";"1";"EL PARDO";"8";"FUENCARRAL-EL PARDO";"433475";"4487635";"40.53679250322743";"-3.7855425467019455";"915 108 469 / 915 108 464 (Información)";"";"almudena@sfmadrid.es";"/contenido/entidadesYorganismos/Cementerios"; 
9185;"Cementerio de Fuencarral";"";"Todos los días del año de 10 a 17 horas.";"La gestión integral realizada por parte de los Servicios Funerarios de Madrid (SFM), ofrece a las familias la posibilidad de disponer de un servicio de cementerios completo a través de una única gestión municipal de todos los servicios necesarios, tales como inhumación, exhumación, traslados o gestión del espacio de enterramiento entre otras. Sin oficinas propias. Tramitaciones en el Cementerio de la Almudena. Instalación accesible para personas de movilidad reducida por las vías principales; dificultades por vías más estrechas y entre sepulturas.";"Bus: 134, 178";"La Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, ofrece un Servicio Funerario Integral que engloba todos los aspectos necesarios para la despedida de un ser querido, como los trámites administrativos, la recogida del fallecido, traslado, acondicionamiento y su velación entre otros servicios, poniendo a su disposición los dos Tanatorios Municipales (Tanatorio M30 y Tanatorio SUR). Así mismo, gestionamos la inhumación o incineración del fallecido en cualquiera de los 14 Cementerios Municipales de la ciudad de Madrid y de los dos Crematorios (Cementerio de La Almudena y Cementerio Sur).";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bf87b47a0559f010VgnVCM2000000c205a0aRCRD";"MONTECARMELO";"AVENIDA";"V";"10";"";"";"";"";"MADRID";"MADRID";"28049";"8";"EL GOLOSO";"8";"FUENCARRAL-EL PARDO";"440647";"4484200";"40.50638464823704";"-3.700539259907993";"915 108 469 / 915 108 464 (Información)";"";"almudena@sfmadrid.es";"/contenido/entidadesYorganismos/Cementerios"; 
