id_mercado,nombre_mercado,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud,geometry
0,Mercado municipal de San Fernando (Embajadores),EMBAJADORES,12,CENTRO,1,CALLE EMBAJADORES,41,28012,440274.0,4473236.0,40.4076,-3.7039099,POINT (-3.703898096497983 40.407597722823255)
1,Mercado municipal de Antón Martín,EMBAJADORES,12,CENTRO,1,CALLE SANTA ISABEL,5,28012,440710.0,4473658.0,40.411423,-3.698811,POINT (-3.6987993223464946 40.41143047257765)
2,Mercado municipal de la Cebada,PALACIO,11,CENTRO,1,PLAZA CEBADA,17,28005,439780.0,4473650.0,40.411293,-3.7097707,POINT (-3.7097588695592085 40.41129164186208)
3,Mercado municipal de San Antón,JUSTICIA,14,CENTRO,1,CALLE AUGUSTO FIGUEROA,24,28004,440825.0,4474835.0,40.422043,-3.6975653,POINT (-3.6975535092687335 40.42204164079592)
4,Mercado municipal de Barceló,JUSTICIA,14,CENTRO,1,CALLE BARCELO,6,28004,440683.0,4475365.0,40.426807,-3.6992767,POINT (-3.6992767268999924 40.426806017892616)
5,Mercado municipal de Los Mostenses,UNIVERSIDAD,15,CENTRO,1,PLAZA MOSTENSES,1,28015,439862.0,4474976.0,40.423244,-3.7089295,POINT (-3.7089178476756923 40.42324278876729)
6,Mercado municipal de Santa María de la Cabeza,PALOS DE MOGUER,26,ARGANZUELA,2,PASEO SANTA MARIA DE LA CABEZA,41,28045,440832.0,4472713.0,40.40292,-3.6972854,POINT (-3.6972736557119497 40.40292612256116)
7,Mercado municipal de Guillermo de Osma,CHOPERA,23,ARGANZUELA,2,CALLE MIGUEL ARREDONDO,4,28045,441042.0,4472034.0,40.394943,-3.696013,POINT (-3.6947361715097413 40.39682423751859)
8,Mercado municipal de Ibiza,IBIZA,34,RETIRO,3,CALLE IBIZA,8,28009,442533.0,4474392.0,40.41817,-3.6773927,POINT (-3.67738097041885 40.41817058508909)
9,Mercado municipal de Pacífico,PACIFICO,31,RETIRO,3,CALLE VALDERRIBAS,30,28007,442677.0,4472855.0,40.404335,-3.6755452,POINT (-3.675545237050553 40.404334401289766)
10,Mercado municipal de La Guindalera,GUINDALERA,44,SALAMANCA,4,CALLE ERASO,14,28028,443083.0,4476157.0,40.4341,-3.6710563,POINT (-3.6710563838537213 40.43410841916373)
11,Mercado municipal de Diego de León,CASTELLANA,46,SALAMANCA,4,CALLE DIEGO DE LEON,26,28006,442116.0,4476236.0,40.434753,-3.6824756,POINT (-3.6824638326132173 40.43475335228127)
12,Mercado municipal de la Paz,RECOLETOS,41,SALAMANCA,4,CALLE AYALA,28,28001,441826.0,4475458.0,40.427727,-3.6858115,POINT (-3.685811553774934 40.42772451886179)
13,Mercado municipal de Chamartín,HISPANOAMERICA,54,CHAMARTIN,5,CALLE BOLIVIA,9,28016,442509.0,4478737.0,40.457314,-3.678057,POINT (-3.678056971886333 40.45731080578169)
14,Mercado municipal de San Cristóbal,CASTILLA,56,CHAMARTIN,5,CALLE CONDE DE TORRALBA,11,28046,442053.0,4481294.0,40.47843,-3.684947,POINT (-3.6836682878543434 40.48031368595192)
15,Mercado municipal de Prosperidad,CIUDAD JARDIN,53,CHAMARTIN,5,CALLE LOPEZ DE HOYOS,81,28002,442833.0,4477298.0,40.444363,-3.674118,POINT (-3.674106373343412 40.44436996295164)
16,Mercado municipal de San Enrique,CUATRO CAMINOS,62,TETUAN,6,CALLE SAN ENRIQUE,16,28020,440716.0,4478818.0,40.456036,-3.7004879,POINT (-3.69920996028094 40.45791451416278)
17,Mercado municipal de Tetuán,VALDEACEDERAS,65,TETUAN,6,CALLE MARQUES DE VIANA,4,28039,440752.0,4479160.0,40.46099,-3.698829,POINT (-3.6988173211274864 40.460997959150205)
18,Mercado municipal de la Remonta,VALDEACEDERAS,65,TETUAN,6,CALLE BRAVO MURILLO,327,28020,440972.0,4479488.0,40.46397,-3.696265,POINT (-3.6962531587236245 40.46396837656718)
19,Mercado municipal de Maravillas,CUATRO CAMINOS,62,TETUAN,6,CALLE BRAVO MURILLO,122,28020,440347.0,4477839.0,40.449062,-3.7034698,POINT (-3.703469745063661 40.449068870736674)
20,Mercado municipal de Chamberí,ALMAGRO,74,CHAMBERI,7,CALLE ALONSO CANO,10,28010,440811.0,4476407.0,40.436203,-3.697865,POINT (-3.6978648973459483 40.43620194934975)
21,Mercado municipal de Vallehermoso,ARAPILES,72,CHAMBERI,7,CALLE VALLEHERMOSO,36,28015,439904.0,4476186.0,40.43414,-3.7085488,POINT (-3.708537166103862 40.43414603979449)
22,Mercado municipal de Guzmán el Bueno,GAZTAMBIDE,71,CHAMBERI,7,CALLE ANDRES MELLADO,43,28015,439398.0,4476280.0,40.434956,-3.7145114,POINT (-3.7145114763970755 40.434956116327704)
23,Mercado municipal de Valdezarza,VALDEZARZA,94,MONCLOA-ARAVACA,9,CALLE ANTONIO MACHADO,20,28035,438998.0,4479816.0,40.466774,-3.7195785,POINT (-3.719566905581882 40.46678053103828)
24,Mercado municipal de Argüelles,ARGUELLES,92,MONCLOA-ARAVACA,9,CALLE ALTAMIRANO,7,28008,439107.0,4475866.0,40.4312,-3.7179024,POINT (-3.717902513400596 40.431205376418376)
