id_zonaverde,nombre_zv,barrio,id_barrio,distrito,id_distrito,Superficie (m2),Superficie (ha)
0,PARQUE DE ATENAS,PALACIO,11,CENTRO,1,"46.569,03","4,66"
1,JARDINES ARQUITECTO RIBERA,JUSTICIA,14,CENTRO,1,"4.778,92","0,48"
2,JARDINES DE LA PZA. DE GABRIEL MIRÃ,PALACIO,11,CENTRO,1,"5.462,68","0,55"
3,MERCADO PTA. DE TOLEDO,EMBAJADORES,12,CENTRO,1,"5.751,54","0,58"
4,TALUD C/ SEGOVIA,PALACIO,11,CENTRO,1,"9.985,49","1,00"
5,JARDINES DE LA PZA. DE LA VILLA DE PARIS,JUSTICIA,14,CENTRO,1,"10.718,25","1,07"
6,JARDIN DE LARRA,PALACIO,11,CENTRO,1,"5.599,29","0,56"
7,JARDINES DE LAS VISTILLAS,PALACIO,11,CENTRO,1,"12.108,31","1,21"
8,PÂº DE RECOLETOS I,JUSTICIA,14,CENTRO,1,"19.440,71","1,94"
9,PARQUE CASINO DE LA REINA,EMBAJADORES,12,CENTRO,1,"19.858,92","1,99"
10,PARQUE DE LA CORNISA,PALACIO,11,CENTRO,1,"22.633,04","2,26"
11,PÂº PRADO I,CORTES,13,CENTRO,1,"35.327,59","3,53"
12,CUESTA DE LOS CIEGOS,PALACIO,11,CENTRO,1,"11.879,10","1,19"
13,PARQUE PAPELERA PENINSULAR,ACACIAS,22,ARGANZUELA,2,"11.800,32","1,18"
14,PARQUE IMPERIAL PVF,IMPERIAL,21,ARGANZUELA,2,"8.888,31","0,89"
15,JARDINES DE RODIO-ONICE,LEGAZPI,24,ARGANZUELA,2,"8.976,19","0,90"
16,JARDIN DEL RASTRO,ACACIAS,22,ARGANZUELA,2,"8.998,75","0,90"
17,POL. DE YESERIAS FASES II Y III,ACACIAS,22,ARGANZUELA,2,"10.365,81","1,04"
18,URB. PAPELERA PENINSULAR - JARDINES,ACACIAS,22,ARGANZUELA,2,"10.660,30","1,07"
19,Z.V. PUERTO DE  BEJAR,LEGAZPI,24,ARGANZUELA,2,"11.565,81","1,16"
20,ESTACION SUR - PERI 3/5,ATOCHA,27,ARGANZUELA,2,"12.508,53","1,25"
21,PARQUE DE DELICIAS,DELICIAS,25,ARGANZUELA,2,"26.882,72","2,69"
22,A.P.R.02.06 'MENDEZ-ALVARO NORTE 1',ATOCHA,27,ARGANZUELA,2,"13.312,62","1,33"
23,PARQUE RAMIREZ DE PRADO,DELICIAS,25,ARGANZUELA,2,"20.878,86","2,09"
24,PARQUE MIRADOR TIERNO GALVAN PVF,DELICIAS,25,ARGANZUELA,2,"22.202,13","2,22"
25,PARQUE PEÃUELAS,ACACIAS,22,ARGANZUELA,2,"27.401,64","2,74"
26,PARQUE DEL BRONCE PVF,LEGAZPI,24,ARGANZUELA,2,"28.817,89","2,88"
27,PARQUE ENRIQUE TIERNO GALVAN,LEGAZPI,24,ARGANZUELA,2,"401.396,67","40,14"
28,ZV TEJO,ATOCHA,27,ARGANZUELA,2,"12.599,98","1,26"
29,PARQUE DE COCHERAS,PACIFICO,31,RETIRO,3,"9.573,37","0,96"
30,JARDINES FEDERICO MORENO TORROBA,ADELFAS,32,RETIRO,3,"5.268,85","0,53"
31,PZA. DE MURILLO,LOS JERONIMOS,35,RETIRO,3,"5.526,19","0,55"
32,PAR POETA ESTEBAN VILLEGAS,LOS JERONIMOS,35,RETIRO,3,"6.805,34","0,68"
33,JARDINES DEL MUSEO DEL PRADO,LOS JERONIMOS,35,RETIRO,3,"12.904,13","1,29"
34,JARDINES PZA. DE LA LEALTAD,LOS JERONIMOS,35,RETIRO,3,"8.568,17","0,86"
35,M30 - NUDO  OÂ´DONNELL,ESTRELLA,33,RETIRO,3,"17.435,24","1,74"
36,JARDINES PÂº JOHN LENNON,ESTRELLA,33,RETIRO,3,"13.623,24","1,36"
37,M30 - C/ SIRIO,ESTRELLA,33,RETIRO,3,"21.589,56","2,16"
38,PARQUE MARTIN LUTHER KING,ADELFAS,32,RETIRO,3,"33.719,57","3,37"
39,PARQUE DE ROMA,ESTRELLA,33,RETIRO,3,"112.100,66","11,21"
40,PÂº DE RECOLETOS II,RECOLETOS,41,SALAMANCA,4,"5.089,23","0,51"
41,JARDINES PZA. TOROS DE LAS VENTAS,GUINDALERA,44,SALAMANCA,4,"8.747,12","0,87"
42,M30 - PTE. DE VENTAS,GUINDALERA,44,SALAMANCA,4,"9.527,12","0,95"
43,M30 - NUDO O DONNELL,FUENTE DEL BERRO,43,SALAMANCA,4,"10.374,69","1,04"
44,JARDINES DEL DESCUBRIMIENTO,RECOLETOS,41,SALAMANCA,4,"20.201,31","2,02"
45,M30 - NUDO AVDA. DE AMERICA,GUINDALERA,44,SALAMANCA,4,"10.851,77","1,09"
46,PARQUE BREOGAN,GUINDALERA,44,SALAMANCA,4,"22.272,62","2,23"
47,PARQUE DE MARIA EVA DUARTE DE PERON,GUINDALERA,44,SALAMANCA,4,"29.746,40","2,97"
48,AMPLIACION PARQUE DE LAS AVENIDAS,GUINDALERA,44,SALAMANCA,4,"32.979,18","3,30"
49,PARQUE SANCHO DAVILA,FUENTE DEL BERRO,43,SALAMANCA,4,"43.029,27","4,30"
50,PARQUE DE LAS AVENIDAS,GUINDALERA,44,SALAMANCA,4,"47.029,32","4,70"
51,PÂº DE LA CASTELLANA I,CASTELLANA,46,SALAMANCA,4,"21.628,85","2,16"
52,JARDINES DE SAN FERNANDO,NUEVA ESPANA,55,CHAMARTIN,5,"11.970,64","1,20"
53,JARDIN DE LAS BELLAS ARTES,EL VISO,51,CHAMARTIN,5,"10.340,15","1,03"
54,ALFONSO XIII - STA. MÂª MAGDALENA,NUEVA ESPANA,55,CHAMARTIN,5,"10.423,07","1,04"
55,Jardines de Berta CÃ¡ceres,NUEVA ESPANA,55,CHAMARTIN,5,"10.503,41","1,05"
56,JARDINES INSTITUTO STA. MARCA,HISPANOAMERICA,54,CHAMARTIN,5,"10.813,50","1,08"
57,PÂº CEREZOS,HISPANOAMERICA,54,CHAMARTIN,5,"10.964,52","1,10"
58,JARDIN DE LUIS DE TRELLES,PROSPERIDAD,52,CHAMARTIN,5,"11.379,85","1,14"
59,COL. SAN CRISTOBAL,CASTILLA,56,CHAMARTIN,5,"12.379,09","1,24"
60,M30 - AVDA. BURGOS,CASTILLA,56,CHAMARTIN,5,"24.989,95","2,50"
61,M30 - NUDO COSTA RICA,NUEVA ESPANA,55,CHAMARTIN,5,"14.337,81","1,43"
62,PARQUE FELIX RGUEZ. DE LA FUENTE,PROSPERIDAD,52,CHAMARTIN,5,"14.752,94","1,48"
63,M30 - LA CHOPERA,PROSPERIDAD,52,CHAMARTIN,5,"15.333,09","1,53"
64,M30 - NUDO DE LA PALOMA,CASTILLA,56,CHAMARTIN,5,"17.206,08","1,72"
65,PARQUE DE BERLIN,CIUDAD JARDIN,53,CHAMARTIN,5,"49.116,00","4,91"
66,PÂº DE LA CASTELLANA II,EL VISO,51,CHAMARTIN,5,"50.219,17","5,02"
67,PARQUE ORLANDO TAMAYO ZAPATA,HISPANOAMERICA,54,CHAMARTIN,5,"12.859,87","1,29"
68,COMPLEJO AZCA NIVEL 686,CUATRO CAMINOS,62,TETUAN,6,"10.224,72","1,02"
69,Z.V AVDA. BRASIL (PEDRO TEXEIRA - GRAL. PERON),CUATRO CAMINOS,62,TETUAN,6,"4.686,39","0,47"
70,PARQUE AVDA. DE BRASIL,CUATRO CAMINOS,62,TETUAN,6,"5.400,50","0,54"
71,C.P. FELIPE II,ALMENARA,64,TETUAN,6,"5.755,09","0,58"
72,TALUD VIA LIMITE - EMILIA,ALMENARA,64,TETUAN,6,"8.945,82","0,89"
73,BULEVAR AVDA. ASTURIAS,ALMENARA,64,TETUAN,6,"10.915,90","1,09"
74,AVDA. ASTURIAS - PERGOLAS,ALMENARA,64,TETUAN,6,"5.548,08","0,55"
75,PARQUE VILLAMIL,VALDEACEDERAS,65,TETUAN,6,"17.452,70","1,75"
76,PARQUE AGUSTIN RGUEZ. SAHAGUN,VALDEACEDERAS,65,TETUAN,6,"177.896,59","17,79"
77,PARQUE HUERTA DEL OBISPO,VALDEACEDERAS,65,TETUAN,6,"131.589,23","13,16"
78,JARDINES DE LA ORGANIZACION MUNDIAL DE TURISMO,CASTILLEJOS,63,TETUAN,6,"17.068,26","1,71"
79,PARQUE DE LA VENTILLA,ALMENARA,64,TETUAN,6,"102.706,56","10,27"
80,PÂº DE LA CASTELLANA III,CUATRO CAMINOS,62,TETUAN,6,"20.144,83","2,01"
81,JARDINES DE PERON,CUATRO CAMINOS,62,TETUAN,6,"18.833,50","1,88"
82,JARDINES DE REVENGA,GAZTAMBIDE,71,CHAMBERI,7,"2.719,55","0,27"
83,PZA. DE DOMENICO SCARLATTI,VALLEHERMOSO,76,CHAMBERI,7,"3.133,86","0,31"
84,JARDINES DEL TTE. ALCALDE PEREZ PILLADO,VALLEHERMOSO,76,CHAMBERI,7,"3.775,21","0,38"
85,Jose Luis Sampedro,ARAPILES,72,CHAMBERI,7,"3.770,05","0,38"
86,PZA. DE CHAMBERI,ALMAGRO,74,CHAMBERI,7,"2.771,55","0,28"
87,PZA. DE OLAVIDE,TRAFALGAR,73,CHAMBERI,7,"5.731,60","0,57"
88,JARDINES ENRIQUE HERREROS,VALLEHERMOSO,76,CHAMBERI,7,"6.665,80","0,67"
89,LTRL. NUEVOS MINISTERIOS,RIOS ROSAS,75,CHAMBERI,7,"7.138,97","0,71"
90,PÂº CASTELLANA IV,ALMAGRO,74,CHAMBERI,7,"25.310,51","2,53"
