id_cementerio,nombre_cementerio,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
0,Cementerio Cristo de El Pardo,EL PARDO,81,FUENCARRAL-EL PARDO,8,CARRETERA CRISTO DE EL PARDO,11.0,28048,433197,4485709,40.519411567887154,-3.7886095756711633
1,Cementerio de El Pardo,EL PARDO,81,FUENCARRAL-EL PARDO,8,CARRETERA EL PARDO A COLMENAR VIEJO,13.0,28048,433475,4487635,40.53679250322743,-3.7855425467019455
2,Cementerio de Fuencarral,EL GOLOSO,88,FUENCARRAL-EL PARDO,8,AVENIDA MONTECARMELO,10.0,28049,440647,4484200,40.50638464823704,-3.700539259907993
3,Cementerio de Aravaca,VALDEMARIN,95,MONCLOA-ARAVACA,9,CAMINO ZARZUELA,26.0,28023,433274,4479751,40.46574702347528,-3.7870732983676154
4,Cementerio Británico (British Cemetery),SAN ISIDRO,113,CARABANCHEL,11,CALLE COMANDANTE FONTANES,7.0,28019,438673,4471874,40.395212860537896,-3.722633997992097
5,Cementerio Sur,BUENAVISTA,116,CARABANCHEL,11,CALLE ILDEFONSO GONZALEZ VALENCIA,6.0,28054,438716,4468842,40.3679022823185,-3.721835750779592
6,Cementerio Sacramental de Santa María,SAN ISIDRO,113,CARABANCHEL,11,CALLE COMUNEROS DE CASTILLA,13.0,28019,438669,4472245,40.39855470657746,-3.722716863463
7,Cementerio Sacramental de San Lorenzo y San José,OPAÑEL,112,CARABANCHEL,11,CALLE VERDAD,s/n,28019,439201,4471806,40.39445055613288,-3.7180059223894872
8,Cementerio Sacramental de San Justo,SAN ISIDRO,113,CARABANCHEL,11,PASEO ERMITA DEL SANTO,70.0,28011,438484,4472800,40.40353167080908,-3.724962034139464
9,Cementerio Sacramental de San Isidro,SAN ISIDRO,113,CARABANCHEL,11,PASEO ERMITA DEL SANTO,72.0,28019,438420,4472476,40.40061741587043,-3.725670113017977
10,Cementerio Parroquial San Sebastián Mártir,VISTA ALEGRE,114,CARABANCHEL,11,CALLE MONSEÑOR OSCAR ROMERO,92.0,28047,436234,4470691,40.3824905560394,-3.752527715032225
11,Crematorio Sur,BUENAVISTA,116,CARABANCHEL,11,CALLE ILDEFONSO GONZALEZ VALENCIA,2.0,28054,438741,4469435,40.373252366971855,-3.7215898776398064
12,Cementerio de Carabanchel Alto,BUENAVISTA,116,CARABANCHEL,11,CALLE VIA LUSITANA,55.0,28054,437261,4469000,40.36733534193104,-3.740262790092704
13,Cementerio de Villaverde,SAN ANDRES,121,VILLAVERDE,12,AVENIDA RAFAELA YBARRA,137.0,28041,439457,4467451,40.35542554813529,-3.7129764698434657
14,Crematorio Nuestra Señora de la Almudena,VENTAS,151,CIUDAD LINEAL,15,AVENIDA DAROCA,96.0,28017,445016,4475412,40.42751913746381,-3.6482030278949904
15,Cementerio de La Almudena,VENTAS,151,CIUDAD LINEAL,15,AVENIDA DAROCA,90.0,28017,445016,4475412,40.42751913746381,-3.6482030278949904
16,Cementerio Civil,VENTAS,151,CIUDAD LINEAL,15,AVENIDA DAROCA,90.0,28017,445016,4475412,40.42751913746381,-3.6482030278949904
17,Cementerio Parroquial de Hortaleza,PINAR DEL REY,164,HORTALEZA,16,AVENIDA BUCARAMANGA,2.0,28033,445851,4480361,40.47201329604833,-3.638733299407961
18,Cementerio de Canillas,CANILLAS,163,HORTALEZA,16,CALLE SILVANO,69.0,28043,445663,4479145,40.46119048092996,-3.640907163675013
19,Cementerio de Vallecas,CASCO H.VALLECAS,181,VILLA DE VALLECAS,18,CALLE PICO DE LA CIERVA,6.0,28031,447550,4469866,40.37772980394036,-3.617874639300285
20,Cementerio Parroquial de Santa María La Antigua,CASCO H.VICALVARO,191,VICALVARO,19,CALLE SAN CIPRIANO,74.0,28032,449008,4472686,40.40322475736232,-3.6009374823407354
21,Cementerio de Canillejas,CANILLEJAS,207,SAN BLAS-CANILLEJAS,20,CALLE NECTAR,34.0,28022,448243,4477129,40.44319388985589,-3.610313862882384
22,Cementerio Parroquial de San Pedro Apostol,CASCO H.BARAJAS,213,BARAJAS,21,CALLE ACUARIO,6.0,28042,450969,4480560,40.47426777581313,-3.578424572687106
23,Cementerio Parroquial Nuestra Señora de la Alameda,ALAMEDA DE OSUNA,211,BARAJAS,21,AVENIDA LOGROÑO,48.0,28042,449762,4479031,40.46077405225064,-3.592309118272398
24,Cementerio de Barajas,AEROPUERTO,212,BARAJAS,21,CARRETERA CEMENTERIO NUEVO,60.0,28042,450255,4481421,40.481990715777975,-3.58691492041717
