id_local,tipo_local,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,latitud,longitud
0,BAR RESTAURANTE,PALACIO             ,11,CENTRO              ,1,PLAZA                    SANTO DOMINGO                                     ,12,439844.6,4474692.5,40.42068763463123,-3.7090961293285316
3,BAR RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    GENERAL CASTANOS                                  ,15,441155.6,4475300.5,40.426258533676624,-3.6936997552811976
4,BAR RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    MESON DE PAREDES                                  ,52,440279.6,4473426.5,40.40931424076147,-3.703849980731457
5,CAFETERIA,SOL                 ,16,CENTRO              ,1,PLAZA                    CARMEN                                            ,1,440317.6,4474445.5,40.418496603298834,-3.70349775052737
6,RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,PLAZA                    SALESAS                                           ,7,441094.6,4475021.5,40.42374085197037,-3.694392968992117
7,RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,PLAZA                    TIRSO DE MOLINA                                   ,9,440184.6,4473727.5,40.41201897187953,-3.7049978434489694
8,RESTAURANTE,SOL                 ,16,CENTRO              ,1,CARRERA                  SAN JERONIMO                                      ,16,440520.6,4474232.5,40.4165923322795,-3.701085169214161
9,BAR RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    ARGUMOSA                                          ,18,440739.6,4473271.5,40.40795079811712,-3.698414482510127
10,BAR RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    ARGUMOSA                                          ,11,440680.6,4473308.5,40.408279910354246,-3.699113227986986
11,BAR,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    DOCTOR PIGA                                       ,7,440731.6,4473342.5,40.40858983170651,-3.6985153727303484
12,BAR,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    SALITRE                                           ,15,440753.6,4473456.5,40.409618366021355,-3.698266721271521
13,BAR,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    SALITRE                                           ,36,440681.6,4473395.5,40.409063720479786,-3.6991095531581046
14,BAR,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    SALITRE                                           ,24,440731.6,4473448.5,40.409544731991524,-3.698525245642229
15,RESTAURANTE,PALACIO             ,11,CENTRO              ,1,CALLE                    FUENTES                                           ,3,439868.6,4474275.5,40.41693284226509,-3.7087738197274036
16,BAR,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    SAN CARLOS                                        ,6,440446.6,4473536.5,40.41031713823042,-3.70189219508214
17,BAR RESTAURANTE,SOL                 ,16,CENTRO              ,1,CALLE                    MESONERO ROMANOS                                  ,7,440229.6,4474569.5,40.41960733718024,-3.704546616702992
18,CAFETERIA,PALACIO             ,11,CENTRO              ,1,CALLE                    MAYOR                                             ,88,439476.6,4474082.5,40.4151657947271,-3.7133756546126713
19,RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    CANIZARES                                         ,10,440462.6,4473799.5,40.41268751387505,-3.701728243792101
