barrio,id_barrio,Superfie (km2),Superficie (m2),distrito,id_distrito
PALACIO,11,1.47,1470000,CENTRO,1
EMBAJADORES,12,1.03,1030000,CENTRO,1
CORTES,13,0.59,590000,CENTRO,1
JUSTICIA,14,0.74,740000,CENTRO,1
UNIVERSIDAD,15,0.95,950000,CENTRO,1
SOL,16,0.44,440000,CENTRO,1
IMPERIAL,21,0.97,970000,ARGANZUELA,2
ACACIAS,22,1.07,1070000,ARGANZUELA,2
CHOPERA,23,0.56,560000,ARGANZUELA,2
LEGAZPI,24,1.4,1400000,ARGANZUELA,2
DELICIAS,25,1.06,1060000,ARGANZUELA,2
PALOS DE MOGUER,26,0.64,640000,ARGANZUELA,2
ATOCHA,27,0.77,770000,ARGANZUELA,2
PACIFICO,31,0.75,750000,RETIRO,3
ADELFAS,32,0.64,640000,RETIRO,3
ESTRELLA,33,1.02,1020000,RETIRO,3
IBIZA,34,0.49,490000,RETIRO,3
JERONIMOS,35,1.9,1900000,RETIRO,3
NIÃO JESUS,36,0.64,640000,RETIRO,3
RECOLETOS,41,0.87,870000,SALAMANCA,4
GOYA,42,0.77,770000,SALAMANCA,4
FUENTE DEL BERRO,43,0.85,850000,SALAMANCA,4
GUINDALERA,44,1.6,1600000,SALAMANCA,4
LISTA,45,0.52,520000,SALAMANCA,4
CASTELLANA,46,0.77,770000,SALAMANCA,4
EL VISO,51,1.71,1710000,CHAMARTIN,5
PROSPERIDAD,52,1.04,1040000,CHAMARTIN,5
CIUDAD JARDIN,53,0.76,760000,CHAMARTIN,5
HISPANOAMERICA,54,1.71,1710000,CHAMARTIN,5
NUEVA ESPAÃA,55,1.79,1790000,CHAMARTIN,5
CASTILLA,56,2.16,2160000,CHAMARTIN,5
BELLAS VISTAS,61,0.72,720000,TETUAN,6
CUATRO CAMINOS,62,1.19,1190000,TETUAN,6
CASTILLEJOS,63,0.71,710000,TETUAN,6
ALMENARA,64,1.0,1000000,TETUAN,6
VALDEACEDERAS,65,1.16,1160000,TETUAN,6
BERRUGUETE,66,0.61,610000,TETUAN,6
GAZTAMBIDE,71,0.51,510000,CHAMBERI,7
ARAPILES,72,0.58,580000,CHAMBERI,7
TRAFALGAR,73,0.61,610000,CHAMBERI,7
ALMAGRO,74,0.94,940000,CHAMBERI,7
RIOS ROSAS,75,0.97,970000,CHAMBERI,7
VALLEHERMOSO,76,1.07,1070000,CHAMBERI,7
EL PARDO,81,187.64,187640000,FUENCARRAL-EL PARDO,8
FUENTELARREINA,82,1.38,1380000,FUENCARRAL-EL PARDO,8
PEÃAGRANDE,83,2.89,2890000,FUENCARRAL-EL PARDO,8
EL PILAR,84,1.35,1350000,FUENCARRAL-EL PARDO,8
LA PAZ,85,2.16,2160000,FUENCARRAL-EL PARDO,8
VALVERDE,86,8.98,8980000,FUENCARRAL-EL PARDO,8
MIRASIERRA,87,6.97,6970000,FUENCARRAL-EL PARDO,8
EL GOLOSO,88,26.51,26510000,FUENCARRAL-EL PARDO,8
CASA DE CAMPO,91,17.47,17470000,MONCLOA-ARAVACA,9
ARGUELLES,92,0.75,750000,MONCLOA-ARAVACA,9
CIUDAD UNIVERSITARIA,93,14.25,14250000,MONCLOA-ARAVACA,9
VALDEZARZA,94,1.4,1400000,MONCLOA-ARAVACA,9
VALDEMARIN,95,3.3,3300000,MONCLOA-ARAVACA,9
EL PLANTIO,96,3.55,3550000,MONCLOA-ARAVACA,9
ARAVACA,97,5.85,5850000,MONCLOA-ARAVACA,9
LOS CARMENES,101,1.29,1290000,LATINA,10
PUERTA DEL ANGEL,102,1.37,1370000,LATINA,10
LUCERO,103,1.68,1680000,LATINA,10
ALUCHE,104,2.85,2850000,LATINA,10
CAMPAMENTO,105,9.16,9160000,LATINA,10
CUATRO VIENTOS,106,5.42,5420000,LATINA,10
LAS AGUILAS,107,3.61,3610000,LATINA,10
COMILLAS,111,0.67,670000,CARABANCHEL,11
OPANEL,112,1.11,1110000,CARABANCHEL,11
SAN ISIDRO,113,1.9,1900000,CARABANCHEL,11
VISTA  ALEGRE,114,1.59,1590000,CARABANCHEL,11
PUERTA BONITA,115,1.61,1610000,CARABANCHEL,11
BUENA VISTA,116,5.61,5610000,CARABANCHEL,11
ABRANTES,117,1.56,1560000,CARABANCHEL,11
ORCASITAS,121,1.36,1360000,USERA,12
ORCASUR,122,1.38,1380000,USERA,12
SAN FERMIN,123,1.46,1460000,USERA,12
ALMENDRALES,124,0.77,770000,USERA,12
MOSCARDO,125,0.91,910000,USERA,12
ZOFIO,126,0.77,770000,USERA,12
PRADOLONGO,127,1.09,1090000,USERA,12
ENTREVIAS,131,5.99,5990000,PUENTE DE VALLECAS,13
SAN DIEGO,132,1.07,1070000,PUENTE DE VALLECAS,13
PALOMERAS BAJAS,133,1.72,1720000,PUENTE DE VALLECAS,13
PALOMERAS SURESTE,134,3.12,3120000,PUENTE DE VALLECAS,13
PORTAZGO,135,1.24,1240000,PUENTE DE VALLECAS,13
NUMANCIA,136,1.84,1840000,PUENTE DE VALLECAS,13
PAVONES,141,1.02,1020000,MORATALAZ,14
HORCAJO,142,0.74,740000,MORATALAZ,14
MARROQUINA,143,1.79,1790000,MORATALAZ,14
MEDIA LEGUA,144,1.0,1000000,MORATALAZ,14
FONTARRON,145,0.96,960000,MORATALAZ,14
VINATEROS,146,0.59,590000,MORATALAZ,14
VENTAS,151,3.2,3200000,CIUDAD LINEAL,15
PUEBLO NUEVO,152,2.32,2320000,CIUDAD LINEAL,15
QUINTANA,153,0.72,720000,CIUDAD LINEAL,15
CONCEPCION,154,0.88,880000,CIUDAD LINEAL,15
SAN PASCUAL,155,1.05,1050000,CIUDAD LINEAL,15
SAN JUAN BAUTISTA,156,1.01,1010000,CIUDAD LINEAL,15
COLINA,157,0.56,560000,CIUDAD LINEAL,15
ATALAYA,158,0.25,250000,CIUDAD LINEAL,15
COSTILLARES,159,1.43,1430000,CIUDAD LINEAL,15
PALOMAS,161,1.13,1130000,HORTALEZA,16
PIOVERA,162,3.14,3140000,HORTALEZA,16
CANILLAS,163,2.52,2520000,HORTALEZA,16
PINAR DEL REY,164,2.63,2630000,HORTALEZA,16
APOSTOL SANTIAGO,165,1.2,1200000,HORTALEZA,16
VALDEFUENTES,166,16.78,16780000,HORTALEZA,16
VILLAVERDE ALTO,171,9.19,9190000,VILLAVERDE,17
SAN CRISTOBAL,172,1.1,1100000,VILLAVERDE,17
BUTARQUE,173,6.42,6420000,VILLAVERDE,17
LOS ROSALES,174,1.51,1510000,VILLAVERDE,17
LOS ANGELES,175,1.94,1940000,VILLAVERDE,17
CASCO HISTORICO DE VALLECAS,181,49.36,49360000,VILLA DE VALLECAS,18
SANTA EUGENIA,182,2.07,2070000,VILLA DE VALLECAS,18
ENSANCHE DE VALLECAS,183,7.359,7359000,VILLA DE VALLECAS,18
CASCO HISTORICO DE VICALVARO,191,39.92,39920000,VICALVARO,19
VALDEBERNARDO,192,2.35,2350000,VICALVARO,19
VALDERRIVAS,193,6.6,6600000,VICALVARO,19
EL CAÃAVERAL,194,6.51,6510000,VICALVARO,19
SIMANCAS,201,2.278,2278000,SAN BLAS-CANILLEJAS,20
HELLIN,202,0.55,550000,SAN BLAS-CANILLEJAS,20
AMPOSTA,203,0.37,370000,SAN BLAS-CANILLEJAS,20
ARCOS,204,1.3,1300000,SAN BLAS-CANILLEJAS,20
ROSAS,205,9.39,9390000,SAN BLAS-CANILLEJAS,20
REJAS,206,5.0,5000000,SAN BLAS-CANILLEJAS,20
CANILLEJAS,207,1.6,1600000,SAN BLAS-CANILLEJAS,20
SALVADOR,208,1.88,1880000,SAN BLAS-CANILLEJAS,20
ALAMEDA DE OSUNA,211,1.96,1960000,BARAJAS,21
AEROPUERTO,212,25.132,25132000,BARAJAS,21
CASCO HISTORICO DE VALLECAS,213,0.61,610000,BARAJAS,21
TIMON,214,9.59,9590000,BARAJAS,21
CORRALEJOS,215,4.63,4630000,BARAJAS,21
