id_equip,nombre_equip,tipo_equip,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud,geometry
0,Sala Maravillas,SALA CONCIERTOS,UNIVERSIDAD,15,CENTRO,1,CALLE SAN VICENTE FERRER,33.0,28004,440254,4475253,40.42576766014132,-3.7043188911922034,POINT (440254 4475253)
1,Sala Beer Station,SALA CONCIERTOS,PALACIO,11,CENTRO,1,CUESTA SANTO DOMINGO,22.0,28013,439897,4474584,40.41971799907849,-3.7084630982794464,POINT (439897 4474584)
2,Sala Hangar 48,SALA CONCIERTOS,PALACIO,11,CENTRO,1,CALLE BAILEN,24.0,28005,439414,4473662,40.411376122865256,-3.714064363467543,POINT (439414 4473662)
3,Sala Fulanita de tal,SALA CONCIERTOS,JUSTICIA,14,CENTRO,1,CALLE REGUEROS,9.0,28004,440920,4475127,40.42468328465713,-3.696460198357803,POINT (440920 4475127)
4,Sala Fotomatón,SALA CONCIERTOS,UNIVERSIDAD,15,CENTRO,1,PLAZA CONDE DE TORENO,2.0,28015,439811,4475125,40.42458980934571,-3.709521523733107,POINT (439811 4475125)
5,Sala Cadavra Club,SALA CONCIERTOS,SOL,16,CENTRO,1,CALLE CABALLERO DE GRACIA,10.0,28013,440547,4474548,40.41944182044671,-3.700799788807606,POINT (440547 4474548)
6,Sala El Sótano,SALA CONCIERTOS,EMBAJADORES,12,CENTRO,1,CALLE MALDONADAS,6.0,28005,439945,4473612,40.410963258677214,-3.707804845662597,POINT (439945 4473612)
7,Sala Libertad 8,SALA CONCIERTOS,JUSTICIA,14,CENTRO,1,CALLE LIBERTAD,8.0,28004,440842,4474685,40.42069989726227,-3.6973340734098006,POINT (440842 4474685)
8,Sala El Sol,SALA CONCIERTOS,SOL,16,CENTRO,1,CALLE JARDINES,3.0,28013,440477,4474497,40.41896393620347,-3.7016354977769934,POINT (440477 4474497)
9,Sala El Intruso,SALA CONCIERTOS,JUSTICIA,14,CENTRO,1,CALLE AUGUSTO FIGUEROA,3.0,28004,440603,4474946,40.42302865076366,-3.700179827881794,POINT (440603 4474946)
10,Sala El Despertar,SALA CONCIERTOS,EMBAJADORES,12,CENTRO,1,CALLE TORRECILLA DEL LEAL,18.0,28012,440648,4473593,40.41084840172144,-3.69951377517164,POINT (440648 4473593)
11,Café Berlín,SALA CONCIERTOS,SOL,16,CENTRO,1,COSTANILLA ANGELES,20.0,28013,439941,4474569,40.41958857138475,-3.7079430927433954,POINT (439941 4474569)
12,Café Central,SALA CONCIERTOS,CORTES,13,CENTRO,1,PLAZA ANGEL,10.0,28012,440450,4473965,40.414178504157086,-3.701904023779484,POINT (440450 4473965)
