id_centro_edu,centro_edu,tipo_edu,Pub_Priv,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,latitud,longitud
0,CENTRO DE INFANTIL Y PRIMARIA PUBLICO,INFANTIL Y PRIMARIA,PUBLICO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    VENTORRILLO                                       ,14,440134.6,4473142.5,40.40674541694838,-3.705532075436818
1,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    SOMBRERETE                                        ,12,440399.6,4473338.5,40.40853009431067,-3.7024275488388887
2,"CENTRO PUBLICO DE SECUNDARIA, BACHILLERATO Y/O FP","SECUNDARIA, BACH, FP",PUBLICO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    PALMA                                             ,46,440111.6,4475344.5,40.42658040731769,-3.706010438000394
3,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    PEZ                                               ,12,440215.6,4474986.5,40.42336286007573,-3.704750832744599
4,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    ESPIRITU SANTO                                    ,23,440229.6,4475220.5,40.42547184497286,-3.704607806117053
5,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    SANTA CRUZ DE MARCENADO                           ,31,439502.6,4475676.5,40.42952714496886,-3.7132208665507758
6,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    ANDRES BORREGO                                    ,10,440058.6,4474986.5,40.42335156424239,-3.706601447797168
7,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CORTES              ,3,CENTRO              ,1,CALLE                    MORATIN                                           ,11,440819.6,4473759.5,40.41235263394289,-3.697517095040592
8,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,RONDA                    SEGOVIA                                           ,59,439245.6,4473348.5,40.408536758345,-3.7160281091928513
9,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    MIRA EL SOL                                       ,23,439977.6,4473121.5,40.40654493435401,-3.707380254378875
