id_alojamiento,tipo_alojamiento,restaurante,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,restaurante,geometry
0,HOTEL,SI,CORTES              ,3,CENTRO              ,1,PASEO                    PRADO                                             ,48,441226.6,4473481.5,SI,POINT (-3.6926947309365747 40.40987710894087)
1,HOTEL,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    SANTA ISABEL                                      ,4,440639.6,4473735.5,NO,POINT (-3.6996362374705547 40.412123612769605)
2,APART-HOTEL,NO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    FUENCARRAL                                        ,46,440566.28,4474970.0,NO,POINT (-3.7006156964020307 40.423239344124745)
3,PENSION,NO,PALACIO             ,1,CENTRO              ,1,CALLE                    CRUZADA                                           ,1,439667.16,4474213.5,NO,POINT (-3.7111421559578863 40.41635973864152)
5,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    ATOCHA                                            ,16,440285.6,4473966.5,NO,POINT (-3.7038299524929785 40.414179249780744)
6,HOTEL,SI,PALACIO             ,1,CENTRO              ,1,CALLE                    JACOMETREZO                                       ,6,439986.6,4474650.5,SI,POINT (-3.7074184282525375 40.420319532842754)
7,PENSION,NO,PALACIO             ,1,CENTRO              ,1,PLAZA                    VIRGEN DE LA PALOMA                               ,2,439550.16,4473296.5,NO,POINT (-3.712434005718178 40.408090489551725)
8,APART-HOTEL,NO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    CAMPOAMOR                                         ,13,440996.7,4475317.0,NO,POINT (-3.69557438232496 40.42639591911267)
9,APART-HOTEL,NO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    GRAN VIA                                          ,48,440068.6,4474705.5,NO,POINT (-3.706457091698534 40.42082090803518)
10,HOSTAL,NO,PALACIO             ,1,CENTRO              ,1,CALLE                    FUENTES                                           ,13,439875.6,4474339.5,NO,POINT (-3.7086973656937117 40.41750988950872)
11,HOTEL,SI,SOL                 ,6,CENTRO              ,1,CALLE                    POSTAS                                            ,17,440099.6,4474134.5,SI,POINT (-3.7060379222489663 40.415679307067336)
12,VIVIENDA TURISTICA,NO,PALACIO             ,1,CENTRO              ,1,RONDA                    SEGOVIA                                           ,41,439149.6,4473478.5,NO,POINT (-3.7171718759684365 40.40970084599155)
13,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    SANTA ANA                                         ,25,439822.6,4473435.5,NO,POINT (-3.709236531892667 40.40936240580636)
14,HOTEL,SI,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    DOCTOR CORTEZO                                    ,10,440276.6,4473843.5,SI,POINT (-3.7039244774477393 40.413070561503815)
15,HOTEL,SI,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    ATOCHA                                            ,36,440544.6,4473839.5,SI,POINT (-3.7007655703254363 40.41305371461463)
16,HOSTAL,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    MAGDALENA                                         ,29,440600.6,4473766.5,NO,POINT (-3.7000987627123365 40.412400093577126)
