id,buildingSubtype,buildingType,isNewConstruction,price,rawPrice,reducedPrice,country,regionLevel1,regionLevel2,province,municipality,district,neighborhood,zipCode,latitude,longitude,accuracy,bathrooms,conservationState,floor,air_conditioner,heating,elevator,balcony,rooms,surface,heater,terrace,parking,swimming_pool
162764249,Flat,Flat,False,795.000 €,795000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.4066,-3.679014,0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,155.0,,,,
161296979,Flat,Flat,False,465.000 €,465000,15.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41702,-3.675816,0,1.0,1.0,11.0,,1.0,1.0,,3.0,81.0,,,,
156565030,Flat,Flat,False,715.000 €,715000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41778,-3.673187,0,2.0,1.0,8.0,1.0,,1.0,,2.0,112.0,1.0,1.0,,
163151145,Flat,Flat,False,495.000 €,495000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41601,-3.67523,1,1.0,4.0,6.0,,,1.0,,4.0,98.0,1.0,,,
163104154,Flat,Flat,False,750.000 €,750000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Adelfas,28007,40.40199,-3.673433,0,2.0,1.0,7.0,1.0,,1.0,,4.0,150.0,1.0,,1.0,
162444754,Flat,Flat,False,930.000 €,930000,20.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40078,-3.680823,0,3.0,,6.0,,,1.0,,6.0,245.0,1.0,1.0,1.0,
162995892,Duplex,Flat,False,1.275.000 €,1275000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Niño Jesús,28007,40.41036,-3.671102,0,4.0,1.0,12.0,,,1.0,,5.0,260.0,1.0,,1.0,
162845534,Flat,Flat,False,483.000 €,483000,12.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Niño Jesús,28007,40.40716,-3.674164,0,2.0,1.0,11.0,,,1.0,,4.0,112.0,1.0,1.0,,
160976238,Flat,Flat,False,1.980.000 €,1980000,220.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.4181,-3.694093,0,4.0,,7.0,1.0,,1.0,,3.0,232.0,1.0,,,
162138491,Flat,Flat,False,1.500.000 €,1500000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.40689,-3.688329,0,2.0,4.0,,1.0,,1.0,1.0,3.0,249.0,1.0,,,
162764533,Flat,Flat,False,365.000 €,365000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Estrella,28007,40.40921,-3.671087,0,1.0,3.0,12.0,,,1.0,,3.0,85.0,1.0,,,
160798071,Flat,Flat,False,479.000 €,479000,20.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28007,40.41829,-3.668984,0,2.0,,,,,1.0,,4.0,121.0,1.0,,,
162998139,Flat,Flat,False,294.000 €,294000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.4056,-3.680201,0,1.0,,,,,1.0,,2.0,51.0,1.0,,,
162998141,Flat,Flat,False,214.900 €,214900,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40469,-3.680256,0,1.0,,,1.0,,,,1.0,32.0,,1.0,,
163159762,Flat,Flat,False,277.000 €,277000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Estrella,28007,40.40887,-3.663939,0,2.0,,8.0,1.0,,1.0,,2.0,145.0,1.0,,,
162553946,Flat,Flat,False,1.058.000 €,1058000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Estrella,28007,40.4208,-3.668845,0,2.0,,11.0,1.0,,1.0,,3.0,174.0,,1.0,1.0,
163087248,Flat,Flat,False,1.360.000 €,1360000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41576,-3.691074,0,2.0,,7.0,,,1.0,,2.0,125.0,1.0,,,
155824237,Flat,Flat,False,1.350.000 €,1350000,200.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41484,-3.678112,0,3.0,3.0,6.0,,,1.0,,4.0,181.0,,,1.0,
161999134,Attic,Flat,False,2.100.000 €,2100000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41865,-3.692178,0,4.0,,11.0,1.0,,1.0,,3.0,235.0,1.0,1.0,1.0,
162939419,Flat,Flat,False,449.000 €,449000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41896,-3.67468,1,1.0,1.0,8.0,,,1.0,,2.0,79.0,1.0,,,
162843627,Attic,Flat,False,2.500.000 €,2500000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41507,-3.690137,0,5.0,,10.0,1.0,,1.0,,5.0,280.0,1.0,1.0,,
162665122,Duplex,Flat,False,675.000 €,675000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40348,-3.678288,0,3.0,1.0,3.0,1.0,,1.0,,4.0,204.0,1.0,,,
162444479,Flat,Flat,False,295.000 €,295000,25.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40494,-3.678527,0,2.0,1.0,,,,,,2.0,79.0,1.0,,,
162721887,Flat,Flat,False,2.100.000 €,2100000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41355,-3.690122,0,3.0,2.0,10.0,1.0,,1.0,,4.0,231.0,1.0,,1.0,
162443851,Flat,Flat,False,1.500.000 €,1500000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41347,-3.690841,0,2.0,2.0,8.0,1.0,,1.0,,2.0,154.0,1.0,1.0,,
162306737,Flat,Flat,False,330.000 €,330000,15.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Estrella,28007,40.41046,-3.669163,0,1.0,,7.0,,,1.0,,3.0,90.0,1.0,,,
162035933,Flat,Flat,False,780.000 €,780000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Estrella,28007,40.41961,-3.66683,0,2.0,2.0,6.0,1.0,,,,4.0,240.0,1.0,1.0,,
162444700,Flat,Flat,False,1.490.000 €,1490000,60.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Niño Jesús,28007,40.41265,-3.672363,0,2.0,3.0,10.0,1.0,,1.0,,3.0,198.0,1.0,,1.0,
161738518,Flat,Flat,False,469.000 €,469000,29.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Estrella,28007,40.40699,-3.668924,0,2.0,2.0,11.0,1.0,,1.0,,3.0,118.0,1.0,,,
162706341,Attic,Flat,False,710.000 €,710000,20.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41785,-3.674936,0,2.0,1.0,,1.0,,1.0,,2.0,109.0,1.0,1.0,,
163074432,Flat,Flat,False,694.000 €,694000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Estrella,28007,40.41765,-3.661694,0,3.0,2.0,19.0,1.0,1.0,1.0,,4.0,150.0,,1.0,,
161191951,Flat,Flat,False,447.000 €,447000,13.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40477,-3.672967,0,2.0,,8.0,,1.0,1.0,,4.0,104.0,,1.0,,
163130379,Flat,Flat,False,694.000 €,694000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Estrella,28007,40.41655,-3.662496,0,3.0,2.0,19.0,1.0,,1.0,,4.0,150.0,1.0,1.0,,
163115695,Flat,Flat,False,499.000 €,499000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28014,40.40524,-3.682436,0,2.0,1.0,6.0,1.0,,1.0,,3.0,151.0,1.0,,,
163065720,Flat,Flat,False,350.000 €,350000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40388,-3.679338,1,1.0,3.0,6.0,1.0,,1.0,,5.0,83.0,1.0,,,
163006378,Flat,Flat,False,890.000 €,890000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41315,-3.689977,0,2.0,,,,,1.0,,2.0,142.0,1.0,,,
161721946,Flat,Flat,False,432.000 €,432000,28.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41763,-3.675761,0,2.0,,,,,1.0,,3.0,90.0,1.0,1.0,,
