id_inmueble,precio,planta,int/ext,nº hab,m2,ascensor,garage,barrio,id_barrio,distrito,id_distrito
0,340000,1,EXTERIOR,2,67.0,False,False,EMBAJADORES,12,CENTRO,1
1,245000,0,INTERIOR,2,90.0,True,False,CORTES,13,CENTRO,1
2,850000,2,EXTERIOR,2,180.0,False,False,PALACIO,11,CENTRO,1
3,850000,1,EXTERIOR,2,110.0,True,False,JUSTICIA,14,CENTRO,1
4,950000,1,EXTERIOR,3,180.0,True,False,CORTES,13,CENTRO,1
5,565000,1,EXTERIOR,3,110.0,False,False,UNIVERSIDAD,14,CENTRO,1
6,410000,4,INTERIOR,2,58.0,True,False,PALACIO,11,CENTRO,1
7,1145000,1,EXTERIOR,2,234.0,True,False,JUSTICIA,14,CENTRO,1
8,950000,1,EXTERIOR,3,178.0,False,False,CORTES,13,CENTRO,1
9,239000,1,INTERIOR,1,40.0,True,False,SOL,16,CENTRO,1
10,405000,1,EXTERIOR,2,80.0,False,False,CORTES,13,CENTRO,1
11,245000,2,EXTERIOR,1,41.0,False,False,CORTES,13,CENTRO,1
12,285000,0,INTERIOR,1,55.0,True,False,JUSTICIA,14,CENTRO,1
13,399000,6,EXTERIOR,3,55.0,True,False,SOL,16,CENTRO,1
14,550000,0,EXTERIOR,2,119.0,False,False,EMBAJADORES,12,CENTRO,1
15,365000,3,INTERIOR,2,54.0,False,False,JUSTICIA,14,CENTRO,1
16,760000,1,EXTERIOR,4,119.0,True,False,UNIVERSIDAD,14,CENTRO,1
17,850000,2,EXTERIOR,3,136.0,True,False,PALACIO,11,CENTRO,1
18,285000,3,EXTERIOR,1,40.0,True,False,SOL,16,CENTRO,1
19,415000,1,EXTERIOR,1,89.0,False,False,UNIVERSIDAD,14,CENTRO,1
20,575000,2,EXTERIOR,3,104.0,True,False,UNIVERSIDAD,14,CENTRO,1
21,185000,4,INTERIOR,1,45.0,False,False,SOL,16,CENTRO,1
22,640000,1,EXTERIOR,3,141.0,False,True,UNIVERSIDAD,14,CENTRO,1
23,675000,3,EXTERIOR,1,121.0,True,False,UNIVERSIDAD,14,CENTRO,1
24,695000,2,EXTERIOR,2,122.0,True,False,SOL,16,CENTRO,1
25,1090000,5,EXTERIOR,4,192.0,True,False,UNIVERSIDAD,14,CENTRO,1
26,800000,2,EXTERIOR,2,86.0,True,False,JUSTICIA,14,CENTRO,1
27,950000,1,EXTERIOR,3,180.0,True,False,UNIVERSIDAD,14,CENTRO,1
