nombre_estacion,linea,barrio,id_barrio,distrito,id_distrito,orden_paradas,longitud,latitud,trafico
Abrantes,L11,ABRANTES,7,CARAMBACHEL,11,2,-3.728,40.380,1.278.061
Acacias,L5,ACACIAS,2,ARGANZUELA,2,12,-3.700,40.403,2.999.357
Aeropuerto T1-T2-T3,L8,AEROPUERTO,2,BARAJAS,21,3,-3.570,40.468,1.498.629
Aeropuerto T4,L8,AEROPUERTO,2,BARAJAS,21,1,-3.593,40.491,1.729.986
Alameda de Osuna,L5,ALAMEDA DE OSUNA,1,BARAJAS,21,32,-3.580,40.457,1.746.651
Alfonso XIII,L4,PROSPERIDAD,2,CHAMARTIN,5,13,-3.660,40.448,3.454.694
Almendrales,L3,ALMENDRALES,4,USERA,12,12,-3.698,40.383,3.471.372
Alonso Cano,L7,RIOS ROSAS,5,CHAMBERI,7,12,-3.699,40.438,2.499.458
Alonso Martinez,L4/L5/L10,ALMAGRO,4,CHAMBERI,7,4,-3.695,40.427,18.832.974
Alsacia,L2,ARCOS,4,SAN BLAS - CANILLEJAS,20,3,-3.623,40.418,2.573.177
Alto de Extremadura,L6,PUERTA DEL ANGEL,2,LATINA,10,3,-3.738,40.409,3.455.779
Alto del Arenal,L1,PORTAZGO,5,TETUAN,13,26,-3.640,40.389,3.085.187
Aluche,L5,ALUCHE,4,HORTALEZA,10,4,-3.760,40.385,7.710.593
Alvarado,L1,BELLAS VISTAS,1,TETUAN,6,8,-3.700,40.450,3.173.254
Anton Martin,L1,EMBAJADORES,2,CENTRO,1,17,-3.699,40.412,3.642.276
Antonio Machado,L7,VALDEZARZA,4,MONCLOA-ARAVACA,9,6,-3.718,40.690,1.899.514
Arganzuela-Planetario,L6,LEGAZPI,4,ARGANZUELA,2,22,-3.680,40.393,1.556.334
Arguelles,L3/L4/L6,ARGUELLES,2,MONCLOA-ARAVACA,9,2,-3.716,40.430,14.590.179
Arroyofresno,L7,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,2,-3.726,40.490,337.584
Artilleros,L9,HORCAJO,2,MORATALAZ,14,19,-3.640,40.450,3.267.306
Arturo Soria,L4,COLINA,7,CIUDAD LINEAL,15,15,-3.650,40.455,2.531.498
Ascao,L7,PUEBLO NUEVO,2,CIUDAD LINEAL,15,19,-3.641,40.430,3.182.987
Atocha,L1,ATOCHA,7,ARGANZUELA,2,19,-3.689,40.406,11.088.992
Avenida de America,L4/L6/L7/L9,PROSPERIDAD,2,CHAMARTIN,5,11,-3.760,40.438,35.284.265
Avenida de Guadalajara,L2,ARCOS,4,SAN BLAS - CANILLEJAS,20,2,-3.611,40.422,1.752.368
Avenida de la Ilustracion,L7,PEÑAGRANDE,3,FUENCARRAL-EL PARDO,8,4,-3.718,40.480,1.728.884
Avenida de la Paz,L4,CIUDAD JARDIN,3,CHAMARTIN,5,14,-3.660,40.453,1.338.149
Aviacion Espanola,L10,AGUILAS,7,LATINA,10,28,-3.780,40.383,2.164.440
Bambu,L1,CASTILLA,6,CHAMARTIN,5,2,-3.676,40.476,1.220.848
Banco de España,L2,CORTES,3,CENTRO,1,11,-3.690,40.491,3.745.138
Barajas,L8,TIMON,4,BARAJAS,21,2,-3.580,40.475,2.592.191
Barrio de la Concepción,L7,LA CONCEPCION,4,CIUDAD LINEAL,15,17,-3.650,40.438,3.038.122
Barrio del Pilar,L9,PILAR,4,FUENCARRAL-EL PARDO,8,4,-3.703,40.476,4.225.431
Batan,L10,LUCERO,3,LATINA,10,25,-3.753,40.407,2.761.043
