nombre_equip,tipo_equip,id_equip,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
Teatro de la Comedia. Compai±i­a Nacional de Teatro Cli¡sico,,0,CORTES,13,CENTRO,1,CALLE PRÃNCIPE,14.0,28012,440577,4474129,40.41566504361928,-3.7004107649636144
Teatro Real,TEATRO,1,PALACIO,11,CENTRO,1,PLAZA ISABEL II,1.0,28013,439834,4474367,40.417755675106605,-3.709190283719205
Tablao Flamenco Torres Bermejas,TABLAO,2,SOL,16,CENTRO,1,CALLE MESONERO ROMANOS,11.0,28013,440261,4474600,40.419885409942566,-3.7041793844860695
Sala Shoko Live,SALA CONCIERTOS,3,PALACIO,11,CENTRO,1,CALLE TOLEDO,86.0,28005,439707,4473364,40.408711650639454,-3.710591520837748
Sala Siroco,SALA CONCIERTOS,4,UNIVERSIDAD,15,CENTRO,1,CALLE MARQUES DE LEGANES,7.0,28004,439995,4474846,40.42208944721562,-3.707330170865411
Sala Tempo Audiophile Club,SALA CONCIERTOS,5,UNIVERSIDAD,15,CENTRO,1,CALLE DUQUE DE OSUNA,8.0,28015,439610,4475206,40.425297538012565,-3.711910103061732
Sala Thundercat,SALA CONCIERTOS,6,JUSTICIA,14,CENTRO,1,CALLE CAMPOAMOR,11.0,28004,440982,4475298,40.426223842431455,-3.695739772150343
Sala Vesta,SALA CONCIERTOS,7,JUSTICIA,14,CENTRO,1,CALLE BARQUILLO,29.0,28004,440986,4474935,40.42296190576902,-3.695655945813078
Sala Bule Bule,SALA CONCIERTOS,8,JUSTICIA,14,CENTRO,1,CALLE MARQUES DE VALDEIGLESIAS,6.0,28004,440864,4474567,40.41963173758756,-3.6970581797174273
Tablao Flamenco Cardamomo,TABLAO,9,CORTES,13,CENTRO,1,CALLE ECHEGARAY,15.0,28014,440650,4474106,40.415463057589214,-3.699548238936712
Tablao Flamenco Corral de la Moreri­a,TABLAO,10,PALACIO,11,CENTRO,1,CALLE MORERIA,17.0,28005,439399,4473810,40.412706403145705,-3.7142642886799
Tablao Flamenco Las Carboneras,TABLAO,11,PALACIO,11,CENTRO,1,CALLE CONDE DE MIRANDA,1.0,28005,439829,4474065,40.41503559352572,-3.70922019117338
Sala Beer Station,SALA CONCIERTOS,12,PALACIO,11,CENTRO,1,CUESTA SANTO DOMINGO,22.0,28013,439897,4474584,40.41971799907849,-3.7084630982794464
Pequei±o Teatro Gran Vi­a,,13,UNIVERSIDAD,15,CENTRO,1,CALLE GRAN VIA,66.0,28013,439859,4474883,40.42240577324947,-3.708956206688234
Teatro Alfil,,14,UNIVERSIDAD,15,CENTRO,1,CALLE PEZ,10.0,28004,440240,4474963,40.4231448936827,-3.704472711431984
Tablao Flamenco Torres Bermejas,,15,SOL,16,CENTRO,1,CALLE MESONERO ROMANOS,11.0,28013,440261,4474600,40.419885409942566,-3.7041793844860695
Tablao Flamenco Torero,,16,SOL,16,CENTRO,1,CALLE CRUZ,26.0,28012,440382,4474047,40.41491309678971,-3.70269441327852
DT Espacio Esci©nico,,17,JUSTICIA,14,CENTRO,1,CALLE REINA,9.0,28004,440593,4474656,40.42040457289982,-3.700283103997518
El umbral de la primavera,,18,EMBAJADORES,12,CENTRO,1,CALLE PRIMAVERA,11.0,28012,440573,4473448,40.40952998024258,-3.700394299299595
Microteatro Por Dinero,,19,UNIVERSIDAD,15,CENTRO,1,CALLE LORETO Y CHICOTE,9.0,28004,440272,4474782,40.42152574011699,-3.704066823193944
Sala Morocco,SALA CONCIERTOS,20,UNIVERSIDAD,15,CENTRO,1,CALLE MARQUES DE LEGANES,7.0,28004,439995,4474846,40.42208944721562,-3.707330170865411
Off Latina,,21,PALACIO,11,CENTRO,1,CALLE MANCEBOS,4.0,28005,439592,4473735,40.41204479812585,-3.711982569899289
Sala Cardamomo,SALA CONCIERTOS,22,CORTES,13,CENTRO,1,CALLE ECHEGARAY,15.0,28014,440650,4474106,40.41546754063365,-3.6995403937914704
Sala El perro de la parte de atri¡s del coche,SALA CONCIERTOS,23,UNIVERSIDAD,15,CENTRO,1,CALLE PUEBLA,15.0,28004,440288,4474863,40.4222576556999,-3.703874418839117
Sala Hangar 48,SALA CONCIERTOS,24,PALACIO,11,CENTRO,1,CALLE BAILEN,24.0,28005,439414,4473662,40.411376122865256,-3.714064363467543
Sala Fulanita de tal,SALA CONCIERTOS,25,JUSTICIA,14,CENTRO,1,CALLE REGUEROS,9.0,28004,440920,4475127,40.42468328465713,-3.696460198357803
Sala Fotomati³n,SALA CONCIERTOS,26,UNIVERSIDAD,15,CENTRO,1,PLAZA CONDE DE TORENO,2.0,28015,439811,4475125,40.42458980934571,-3.709521523733107
Sala Cadavra Club,SALA CONCIERTOS,27,SOL,16,CENTRO,1,CALLE CABALLERO DE GRACIA,10.0,28013,440547,4474548,40.41944182044671,-3.700799788807606
Sala El Si³tano,SALA CONCIERTOS,28,EMBAJADORES,12,CENTRO,1,CALLE MALDONADAS,6.0,28005,439945,4473612,40.410963258677214,-3.707804845662597
Sala Libertad 8,SALA CONCIERTOS,29,JUSTICIA,14,CENTRO,1,CALLE LIBERTAD,8.0,28004,440842,4474685,40.42069989726227,-3.6973340734098006
Sala El Sol,SALA CONCIERTOS,30,SOL,16,CENTRO,1,CALLE JARDINES,3.0,28013,440477,4474497,40.41896393620347,-3.7016354977769934
Cine Palacio de la Prensa,,31,SOL,16,CENTRO,1,PLAZA CALLAO,4.0,28013,440148,4474597,40.41984118412432,-3.705522697812613
Cine Estudio Ci­rculo de Bellas Artes,,32,CORTES,13,CENTRO,1,CALLE ALCALA,42.0,28014,440903,4474433,40.418417756198565,-3.6966084554513072
Filmoteca Espai±ola. Cine Dori©,,33,EMBAJADORES,12,CENTRO,1,CALLE SANTA ISABEL,3.0,28012,440675,4473701,40.411807323876616,-3.69922751452095
Cine Capitol Gran Vi­a,,34,PALACIO,11,CENTRO,1,CALLE GRAN VIA,41.0,28013,440057,4474664,40.42043827261684,-3.706589819519849
Yelmo Cines Ideal,,35,EMBAJADORES,12,CENTRO,1,CALLE DOCTOR CORTEZO,6.0,28012,440287,4473925,40.41381195334125,-3.703799959506574
Cines Callao,,36,SOL,16,CENTRO,1,PLAZA CALLAO,3.0,28013,440150,4474615,40.42001256069903,-3.705489125591789
Sala El Intruso,SALA CONCIERTOS,37,JUSTICIA,14,CENTRO,1,CALLE AUGUSTO FIGUEROA,3.0,28004,440603,4474946,40.42302865076366,-3.700179827881794
