NMT;anio;mes;dia;tipo;LAEQ;DIRECCION;X (ETRS89);Y (ETRS89)
1;2021;1;1;D;62.6;Paseo de Recoletos Frente al nº 23 del Paseo de Recoletos;441303;4474895
1;2021;1;1;E;64.4;Paseo de Recoletos Frente al nº 23 del Paseo de Recoletos;441303;4474895
1;2021;1;1;N;62.6;Paseo de Recoletos Frente al nº 23 del Paseo de Recoletos;441303;4474895
1;2021;1;1;T;63.3;Paseo de Recoletos Frente al nº 23 del Paseo de Recoletos;441303;4474895
2;2021;1;1;D;65.8;Glorieta de Carlos V Plaza del Emperador Carlos V, junto al nº 1 del Paseo de la Infanta Isabel;441328;4473396
2;2021;1;1;E;67;Glorieta de Carlos V Plaza del Emperador Carlos V, junto al nº 1 del Paseo de la Infanta Isabel;441328;4473396
2;2021;1;1;N;66.5;Glorieta de Carlos V Plaza del Emperador Carlos V, junto al nº 1 del Paseo de la Infanta Isabel;441328;4473396
2;2021;1;1;T;66;Glorieta de Carlos V Plaza del Emperador Carlos V, junto al nº 1 del Paseo de la Infanta Isabel;441328;4473396
3;2021;1;1;D;55.3;Plaza del Carmen Plaza del Carmen, frente al nº 3 de la Calle de la Salud;440346;4474524
3;2021;1;1;E;55.7;Plaza del Carmen Plaza del Carmen, frente al nº 3 de la Calle de la Salud;440346;4474524
3;2021;1;1;N;71.3;Plaza del Carmen Plaza del Carmen, frente al nº 3 de la Calle de la Salud;440346;4474524
3;2021;1;1;T;66.7;Plaza del Carmen Plaza del Carmen, frente al nº 3 de la Calle de la Salud;440346;4474524
5;2021;1;1;D;59.5;Barrio del Pilar Parque de La Vaguada, junto nº 42 de Avenida Monforte de Lemos;439689;4481082
5;2021;1;1;E;66;Barrio del Pilar Parque de La Vaguada, junto nº 42 de Avenida Monforte de Lemos;439689;4481082
5;2021;1;1;N;68.2;Barrio del Pilar Parque de La Vaguada, junto nº 42 de Avenida Monforte de Lemos;439689;4481082
5;2021;1;1;T;65;Barrio del Pilar Parque de La Vaguada, junto nº 42 de Avenida Monforte de Lemos;439689;4481082
6;2021;1;1;D;65.3;Gregorio Marañón Frente al nº 51 del Paseo de la Castellana;441413;4476554
6;2021;1;1;E;66.8;Gregorio Marañón Frente al nº 51 del Paseo de la Castellana;441413;4476554
6;2021;1;1;N;64.3;Gregorio Marañón Frente al nº 51 del Paseo de la Castellana;441413;4476554
6;2021;1;1;T;65.6;Gregorio Marañón Frente al nº 51 del Paseo de la Castellana;441413;4476554
8;2021;1;1;D;63.2;Escuelas Aguirre Junto al nº 62 de la Calle Alcalá (dentro del recinto de la Casa Árabe);442117;4474771
8;2021;1;1;E;64.3;Escuelas Aguirre Junto al nº 62 de la Calle Alcalá (dentro del recinto de la Casa Árabe);442117;4474771
8;2021;1;1;T;63.5;Escuelas Aguirre Junto al nº 62 de la Calle Alcalá (dentro del recinto de la Casa Árabe);442117;4474771
10;2021;1;1;D;60.8;Cuatro Caminos Frente al nº 18 de la Avenida Pablo Iglesias;440033;4477450
10;2021;1;1;E;66.3;Cuatro Caminos Frente al nº 18 de la Avenida Pablo Iglesias;440033;4477450
10;2021;1;1;N;68.5;Cuatro Caminos Frente al nº 18 de la Avenida Pablo Iglesias;440033;4477450
10;2021;1;1;T;65.3;Cuatro Caminos Frente al nº 18 de la Avenida Pablo Iglesias;440033;4477450
11;2021;1;1;D;64.8;Ramón y Cajal Parque de Berlín, junto al nº 210 de la Calle Príncipe de Vergara;442564;4478089
11;2021;1;1;E;66.4;Ramón y Cajal Parque de Berlín, junto al nº 210 de la Calle Príncipe de Vergara;442564;4478089
