nombre_estacion,linea,barrio,id_barrio,distrito,id_distrito,orden_paradas,longitud,latitud,trafico
Abrantes,L11,ABRANTES,7,CARAMBACHEL,11,2,"-3,728,294,283.00","4,038,058,188.00",1.278.061
Acacias,L5,ACACIAS,2,ARGANZUELA,2,12,"-3,706,548,229.00","4,040,374,489.00",2.999.357
Aeropuerto T1-T2-T3,L8,AEROPUERTO,2,BARAJAS,21,3,"-3,571,117,753.00","4,046,828,401.00",1.498.629
Aeropuerto T4,L8,AEROPUERTO,2,BARAJAS,21,1,"-3,593,199,646.00","4,049,139,493.00",1.729.986
Alameda de Osuna,L5,ALAMEDA DE OSUNA,1,BARAJAS,21,32,"-3,588,034,292.00","4,045,745,955.00",1.746.651
Alfonso XIII,L4,PROSPERIDAD,2,CHAMARTIN,5,13,"-366,779,438.00","4,044,823,416.00",3.454.694
Almendrales,L3,ALMENDRALES,4,USERA,12,12,"-3,698,095,708.00","4,038,395,022.00",3.471.372
Alonso Cano,L7,RIOS ROSAS,5,CHAMBERI,7,12,"-3,699,303,415.00","4,043,843,401.00",2.499.458
Alonso Martinez,L4/L5/L10,ALMAGRO,4,CHAMBERI,7,4,"-3,695,911,679.00","40,427,781.00",18.832.974
Alsacia,L2,ARCOS,4,SAN BLAS - CANILLEJAS,20,3,"-3,623,206,618.00","4,041,859,049.00",2.573.177
Alto de Extremadura,L6,PUERTA DEL ANGEL,2,LATINA,10,3,"-3,738,821,094.00","4,040,977,149.00",3.455.779
Alto del Arenal,L1,PORTAZGO,5,TETUAN,13,26,"-364,546,746.00","4,038,989,209.00",3.085.187
Aluche,L5,ALUCHE,4,HORTALEZA,10,4,"-3,761,026,111.00","4,038,580,469.00",7.710.593
Alvarado,L1,BELLAS VISTAS,1,TETUAN,6,8,"-3,703,505,801.00","4,045,020,706.00",3.173.254
Anton Martin,L1,EMBAJADORES,2,CENTRO,1,17,"-3,699,402,901.00","4,041,248,995.00",3.642.276
Antonio Machado,L7,VALDEZARZA,4,MONCLOA-ARAVACA,9,6,"-3,718,143,025.00","4,046,997,891.00",1.899.514
Arganzuela-Planetario,L6,LEGAZPI,4,ARGANZUELA,2,22,"-3,688,634,252.00","4,039,321,525.00",1.556.334
