nombre_estacion,linea,barrio,id_barrio,distrito,id_distrito,orden_paradas,longitud,latitud,trafico
Abrantes,L11,ABRANTES,7,CARAMBACHEL,11,2,"-3,728,294,283","4,038,058,188",1.278.061
Acacias,L5,ACACIAS,2,ARGANZUELA,2,12,"-3,706,548,229","4,040,374,489",2.999.357
Aeropuerto T1-T2-T3,L8,AEROPUERTO ,2,BARAJAS,21,3,"-3,571,117,753","4,046,828,401",1.498.629
Aeropuerto T4,L8,AEROPUERTO ,2,BARAJAS,21,1,"-3,593,199,646","4,049,139,493",1.729.986
Alameda de Osuna,L5,ALAMEDA DE OSUNA,1,BARAJAS,21,32,"-3,588,034,292","4,045,745,955",1.746.651
Alfonso XIII,L4,PROSPERIDAD,2,CHAMARTIN,5,13,"-366,779,438","4,044,823,416",3.454.694
Almendrales,L3,ALMENDRALES,4,USERA,12,12,"-3,698,095,708","4,038,395,022",3.471.372
Alonso Cano,L7,RIOS ROSAS,5,CHAMBERI,7,12,"-3,699,303,415","4,043,843,401",2.499.458
Alonso Martinez,L4/L5/L10,ALMAGRO,4,CHAMBERI,7,4,"-3,695,911,679","40,427,781",18.832.974
Alsacia,L2,ARCOS,4,SAN BLAS - CANILLEJAS,20,3,"-3,623,206,618","4,041,859,049",2.573.177
Alto de Extremadura,L6,PUERTA DEL ANGEL,2,LATINA,10,3,"-3,738,821,094","4,040,977,149",3.455.779
Alto del Arenal,L1,PORTAZGO,5,TETUAN,13,26,"-364,546,746","4,038,989,209",3.085.187
Aluche,L5,ALUCHE,4,HORTALEZA,10,4,"-3,761,026,111","4,038,580,469",7.710.593
Alvarado,L1,BELLAS VISTAS,1,TETUAN,6,8,"-3,703,505,801","4,045,020,706",3.173.254
Anton Martin,L1,EMBAJADORES,2,CENTRO,1,17,"-3,699,402,901","4,041,248,995",3.642.276
Antonio Machado,L7,VALDEZARZA,4,MONCLOA-ARAVACA,9,6,"-3,718,143,025","4,046,997,891",1.899.514
Arganzuela-Planetario,L6,LEGAZPI,4,ARGANZUELA,2,22,"-3,688,634,252","4,039,321,525",1.556.334
Arguelles,L3/L4/L6,ARGUELLES,2,MONCLOA-ARAVACA,9,2,"-3,716,055,779","4,043,059,028",14.590.179
Arroyofresno,L7,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,2,"-3,726,020,646","4,049,083,754",337.584
Artilleros,L9,HORCAJO,2,MORATALAZ,14,19,"-3,641,798,629","4,040,509,442",3.267.306
Arturo Soria,L4,COLINA,7,CIUDAD LINEAL,15,15,"-3,656,293,067","404,558,431",2.531.498
Ascao,L7,PUEBLO NUEVO,2,CIUDAD LINEAL,15,19,"-3,641,083,238","4,043,012,943",3.182.987
Atocha,L1,ATOCHA,7,ARGANZUELA,2,19,"-3,689,417,845","4,040,657,541",11.088.992
Avenida de America,L4/L6/L7/L9,PROSPERIDAD,2,CHAMARTIN,5,11,"-3,676,670,475","4,043,809,255",35.284.265
Avenida de Guadalajara,L2,ARCOS,4,SAN BLAS - CANILLEJAS,20,2,"-3,611,886,184","4,042,233,839",1.752.368
Avenida de la Ilustracion,L7,PEÑAGRANDE,3,FUENCARRAL-EL PARDO,8,4,"-3,718,274,427","4,048,004,996",1.728.884
Avenida de la Paz,L4,CIUDAD JARDIN,3,CHAMARTIN,5,14,"-3,662,086,639","4,045,339,396",1.338.149
Aviacion Espanola,L10,AGUILAS,7,LATINA,10,28,"-378,387,852","4,038,375,966",2.164.440
Bambu,L1,CASTILLA,6,CHAMARTIN,5,2,"-3,676,373,739","4,047,687,195",1.220.848
Banco de España,L2,CORTES,3,CENTRO,1,11,"-369,510,415","4,041,910,329",3.745.138
Barajas,L8,TIMON,4,BARAJAS,21,2,"-3,582,599,556","4,047,582,515",2.592.191
Barrio de la Concepción,L7,LA CONCEPCION,4,CIUDAD LINEAL,15,17,"-3,651,601,034","4,043,885,084",3.038.122
Barrio del Pilar,L9,PILAR,4,FUENCARRAL-EL PARDO,8,4,"-3,703,108,241","404,762,505",4.225.431
Batan,L10,LUCERO,3,LATINA,10,25,"-3,753,003,529","4,040,766,826",2.761.043
Begona,L10,VALVERDE,6,FUENCARRAL-EL PARDO,8,13,"-3,685,761,032","4,048,046,924",4.943.875
Bilbao,L1/L4,JUSTICIA,4,CENTRO,1,12,"-3,702,228,731","4,042,903,458",8.467.553
Buenos Aires,L1,PORTAZGO,5,PUENTE DE VALLECAS,13,25,"-3,653,950,912","4,039,154,908",2.559.265
Callao,L3/L5,SOL,6,CENTRO,1,5,"-3,705,670,266","4,042,026,238",15.303.823
Campamento,L5,ALUCHE,4,LATINA,10,2,"-3,768,217,204","4,039,465,453",2.899.486
Canal,L2/L7,ARAPILES,2,CHAMBERI,7,11,"-3,704,337,283","4,043,821,445",8.798.589
Canillas,L4,CANILLAS,3,HORTALEZA,16,17,"-3,635,445,002","4,046,433,275",3.003.992
Canillejas,L5,CANILLEJAS,7,SAN BLAS - CANILLEJAS,20,30,"-3,608,127,488","4,044,936,151",3.113.978
Carabanchel,L5,VISTA ALEGRE,4,CARAMBACHEL,11,6,"-3,744,896,251","4,038,783,197",3.436.762
Carabanchel Alto,L11,BUENAVISTA,6,CARAMBACHEL,11,5,"-3,751,846,671","4,037,208,053",1.602.522
