id_teatro,nombre_teatro,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
0,Teatro de la Comedia. Compañía Nacional de Teatro Clásico,CORTES,3.0,CENTRO,1.0,CALLE PRÍNCIPE,14.0,28012,440577,4474129,40.41566504361928,-3.7004107649636144
1,Teatro Karpas,EMBAJADORES,2.0,CENTRO,1.0,CALLE SANTA ISABEL,19.0,28012,440803,4473550,40.41045615490087,-3.6977049393895824
2,Teatro Infanta Isabel,JUSTICIA,4.0,CENTRO,1.0,CALLE BARQUILLO,24.0,28004,440993,4474853,40.42221671356561,-3.6955867306586354
3,Teatro Fígaro - Adolfo Marsillach,EMBAJADORES,2.0,CENTRO,1.0,CALLE DOCTOR CORTEZO,5.0,28012,440298,4473886,40.41345601671212,-3.703676260061599
4,Teatro Español,CORTES,3.0,CENTRO,1.0,CALLE PRINCIPE,25.0,28012,440597,4474036,40.41482868269558,-3.7001663599562105
5,Teatro EDP Gran Vía,UNIVERSIDAD,5.0,CENTRO,1.0,CALLE GRAN VIA,66.0,28013,439859,4474883,40.42240577324947,-3.708956206688234
6,Teatro del Barrio,EMBAJADORES,2.0,CENTRO,1.0,CALLE ZURITA,20.0,28012,440681,4473464,40.409681819217646,-3.699123015201178
7,Teatro La Corsetería - NTF,EMBAJADORES,2.0,CENTRO,1.0,CALLE CABEZA,8.0,28012,440313,4473696,40.411745481650485,-3.703481650678806
8,Teatro de las Aguas,UNIVERSIDAD,5.0,CENTRO,1.0,CALLE DE LAS AGUAS,8.0,28005,440304,4474849,40.422131603573256,-3.7036959273154326
9,Teatro de la Escuela,UNIVERSIDAD,5.0,CENTRO,1.0,CALLE PALMA,18.0,28004,440361,4475309,40.42628172562985,-3.703059098855893
10,Teseo Teatro,PALACIO,1.0,CENTRO,1.0,RONDA SEGOVIA,61.0,28005,439256,4473343,40.40848902977015,-3.7159050283874873
11,Teatro Coliseum,UNIVERSIDAD,5.0,CENTRO,1.0,CALLE GRAN VIA,78.0,28013,440304,4474849,40.422131603573256,-3.7036959273154326
12,Teatro Cofidis Alcázar,CORTES,3.0,CENTRO,1.0,CALLE ALCALA,20.0,28014,440694,4474365,40.41780142775861,-3.699048171807146
13,Teatro Capitol Gran Vía,PALACIO,1.0,CENTRO,1.0,CALLE GRAN VIA,41.0,28013,440057,4474664,40.42044662928379,-3.706582132732834
14,Teatro Calderón,EMBAJADORES,2.0,CENTRO,1.0,CALLE ATOCHA,18.0,28012,440325,4473942,40.41396242769233,-3.703363300804268
15,Teatro de la Zarzuela,CORTES,3.0,CENTRO,1.0,CALLE JOVELLANOS,4.0,28014,440879,4474296,40.4171909688133,-3.69686690418468
16,Teatro la Latina,PALACIO,1.0,CENTRO,1.0,PLAZA CEBADA,2.0,28005,439863,4473661,40.411397795053,-3.708781739576842
17,Teatro Lara,UNIVERSIDAD,5.0,CENTRO,1.0,CALLE CORREDERA BAJA DE SAN PABLO,15.0,28004,440241,4474845,40.42208196713365,-3.704449834829029
